dataset,rung,model,split,train_rate,seed,auprc,auroc,best_f1,n_train,n_test,n_feats,wall_s
yelp,a,lightgbm,random,0.05,0,0.6099284488051425,0.8685848441523568,0.5822182086856579,2298,39060,32,6.75
yelp,a,xgboost,random,0.05,0,0.6022169532414261,0.8653340661182216,0.5681836106948498,2298,39060,32,1.07
yelp,aL,lightgbm,random,0.05,0,0.6072827407776913,0.8664655669175332,0.575414271220832,2298,39060,36,6.62
yelp,aL,xgboost,random,0.05,0,0.5887983681032389,0.8612999559933205,0.560220904734833,2298,39060,36,1.08
yelp,b0,lightgbm,random,0.05,0,0.7005191020911896,0.9029831039421935,0.6418026418026418,2298,39060,132,6.69
yelp,b0,xgboost,random,0.05,0,0.6869395732167958,0.9002317007756919,0.6341679200212333,2298,39060,132,1.36
yelp,b,lightgbm,random,0.05,0,0.7024455897903706,0.903154258916301,0.64169133192389,2298,39060,136,6.63
yelp,b,xgboost,random,0.05,0,0.6837426474947349,0.8985982625608719,0.6323225361819435,2298,39060,136,1.35
yelp,a,lightgbm,random,0.05,1,0.6045849300248494,0.8654705382868008,0.571576138417836,2298,39060,32,6.71
yelp,a,xgboost,random,0.05,1,0.5945469778984396,0.8648280935475124,0.5616306534861342,2298,39060,32,1.03
yelp,aL,lightgbm,random,0.05,1,0.6023434699047381,0.8650780857952113,0.5673230441724321,2298,39060,36,6.58
yelp,aL,xgboost,random,0.05,1,0.5768085206155025,0.8563649004835456,0.5478396326965648,2298,39060,36,1.06
yelp,b0,lightgbm,random,0.05,1,0.6955367061651022,0.9036954130788908,0.6370015099031885,2298,39060,132,6.6
yelp,b0,xgboost,random,0.05,1,0.6928829096301001,0.905770493620351,0.6405693950177935,2298,39060,132,1.36
yelp,b,lightgbm,random,0.05,1,0.6881666434414839,0.9017086018873389,0.6317385444743936,2298,39060,136,6.52
yelp,b,xgboost,random,0.05,1,0.6787594430276686,0.9010999822521786,0.6298850574712643,2298,39060,136,1.36
yelp,a,lightgbm,random,0.05,2,0.6324925975485354,0.8730183317179958,0.5846737606203085,2298,39060,32,7.61
yelp,a,xgboost,random,0.05,2,0.640347916522881,0.8754475690433132,0.5909398242055443,2298,39060,32,1.04
yelp,aL,lightgbm,random,0.05,2,0.6240410224494958,0.8737259063429658,0.5798971318978292,2298,39060,36,6.68
