dataset,rung,model,seed,train_rate,share_raw,share_static,share_label,n_raw,n_static,n_label
yelp,b,lightgbm,0,0.4,0.46831675121092786,0.48154895073315307,0.050134298055919055,32,100,4
yelp,b,xgboost,0,0.4,0.48169580848293125,0.46534695354999855,0.052957237967070206,32,100,4
yelp,b_leaky,lightgbm,0,0.4,0.43494092179180166,0.44554120998405855,0.11951786822413982,32,100,4
yelp,b_leaky,xgboost,0,0.4,0.44359230672060407,0.42652572850711484,0.12988196477228106,32,100,4
amazon,b,lightgbm,0,0.4,0.763985373985257,0.19201677680068,0.043997849214063016,25,79,4
amazon,b,xgboost,0,0.4,0.8124777399768026,0.14472734737211745,0.04279491265107988,25,79,4
amazon,b_leaky,lightgbm,0,0.4,0.7657493783835648,0.1471604155644558,0.08709020605197913,25,79,4
amazon,b_leaky,xgboost,0,0.4,0.8260278657724287,0.12055661900413446,0.05341551522343682,25,79,4
elliptic,b,lightgbm,0,-1.0,0.6747637556870485,0.07307640865094361,0.252159835662008,165,496,4
elliptic,b,xgboost,0,-1.0,0.442367552754831,0.052223833244309244,0.5054086140008598,165,496,4
elliptic,b_leaky,lightgbm,0,-1.0,0.03327362504945505,0.024030749036121096,0.9426956259144239,165,496,4
elliptic,b_leaky,xgboost,0,-1.0,0.04297618537675572,0.017161490583286153,0.9398623240399582,165,496,4
