dataset,rung,model,split,train_rate,seed,auprc,auroc,best_f1,n_train,n_test,wall_s,notes
yelp,a,lightgbm,random,0.4,0,0.8297965351654142,0.9470002918614826,0.7449075524913821,18382,22976,7.1,
yelp,a,xgboost,random,0.4,0,0.7940068836239117,0.9385623494049973,0.7151388474171394,18382,22976,1.12,
yelp,b0,lightgbm,random,0.4,0,0.8978782628592866,0.9703320331676198,0.8170161411977673,18382,22976,9.32,
yelp,b0,xgboost,random,0.4,0,0.8834258044918054,0.9664500862861654,0.802147010585955,18382,22976,1.89,
yelp,b,lightgbm,random,0.4,0,0.892675340288444,0.9688876452892624,0.8121705076065672,18382,22976,9.35,
yelp,b,xgboost,random,0.4,0,0.8743810266908122,0.9641221660283609,0.7960813865862848,18382,22976,2.02,
yelp,a,lightgbm,random,0.4,1,0.8238230183487448,0.9454616576816899,0.7463325183374082,18382,22976,7.38,
yelp,a,xgboost,random,0.4,1,0.8077038289967272,0.9399704300322355,0.7315616601970738,18382,22976,1.13,
yelp,b0,lightgbm,random,0.4,1,0.8914377785752228,0.9669926050977455,0.8169574533210896,18382,22976,9.63,
yelp,b0,xgboost,random,0.4,1,0.871274835258803,0.9620069788028505,0.7889710412815774,18382,22976,1.82,
yelp,b,lightgbm,random,0.4,1,0.8890436933535533,0.966684817241197,0.812809405940594,18382,22976,9.47,
yelp,b,xgboost,random,0.4,1,0.8656064104491948,0.959798773315281,0.7807536592961695,18382,22976,1.87,
yelp,a,lightgbm,random,0.4,2,0.8256561423793184,0.9451310023589949,0.7483200977397678,18382,22976,7.1,
yelp,a,xgboost,random,0.4,2,0.800227658843616,0.939281660121293,0.7228458959031928,18382,22976,1.09,
yelp,b0,lightgbm,random,0.4,2,0.8930357842385382,0.967447788189721,0.8151069315941151,18382,22976,9.33,
yelp,b0,xgboost,random,0.4,2,0.8765460906263777,0.9633030713920768,0.7995761429003936,18382,22976,1.81,
yelp,b,lightgbm,random,0.4,2,0.8939100852053252,0.9674564226032225,0.8190072639225183,18382,22976,9.34,
yelp,b,xgboost,random,0.4,2,0.8668097455147264,0.9604905561178602,0.7883804466656256,18382,22976,1.84,
yelp,a,lightgbm,random,0.4,3,0.8302454182017261,0.9476846835450838,0.7506365134042234,18382,22976,7.09,
yelp,a,xgboost,random,0.4,3,0.8024047700178776,0.9400903736296834,0.724475122231809,18382,22976,1.09,
yelp,b0,lightgbm,random,0.4,3,0.8889995532479934,0.9652139006612862,0.8140533906106168,18382,22976,9.34,
yelp,b0,xgboost,random,0.4,3,0.8788097616305465,0.9620545138425513,0.8019559902200488,18382,22976,1.81,
yelp,b,lightgbm,random,0.4,3,0.8871730216263741,0.9653449423785619,0.8084515731030228,18382,22976,9.3,
yelp,b,xgboost,random,0.4,3,0.8675276406428201,0.9603740449286062,0.7853419196565471,18382,22976,1.84,
yelp,a,lightgbm,random,0.4,4,0.8319585466926429,0.9476584446913338,0.7501189909566873,18382,22976,7.14,
yelp,a,xgboost,random,0.4,4,0.8097391583661263,0.941037375050426,0.7295728531031404,18382,22976,1.09,
yelp,b0,lightgbm,random,0.4,4,0.8981165283209817,0.969488728612207,0.8215704246868316,18382,22976,9.35,
yelp,b0,xgboost,random,0.4,4,0.884837774483922,0.9668934924042485,0.8062556938961434,18382,22976,1.81,
yelp,b,lightgbm,random,0.4,4,0.8972463025982604,0.9688893996312282,0.8200598802395209,18382,22976,9.35,
yelp,b,xgboost,random,0.4,4,0.8789767450043071,0.9651882186204207,0.8002441629787883,18382,22976,1.86,
amazon,a,lightgbm,random,0.4,0,0.9069610729822861,0.9764172640465978,0.8556430446194225,3455,4320,5.51,
amazon,a,xgboost,random,0.4,0,0.904452218567073,0.9739847964551205,0.856020942408377,3455,4320,0.96,
amazon,b0,lightgbm,random,0.4,0,0.9334569921398957,0.9864639527349389,0.8692403486924034,3455,4320,5.14,
amazon,b0,xgboost,random,0.4,0,0.9361861268923473,0.9861191249340999,0.8785529715762274,3455,4320,1.1,
amazon,b,lightgbm,random,0.4,0,0.9397233775856035,0.9870048468846302,0.8836045056320401,3455,4320,5.02,
amazon,b,xgboost,random,0.4,0,0.9418661800863701,0.9873347362969851,0.885117493472585,3455,4320,1.09,
amazon,a,lightgbm,random,0.4,1,0.9062674256695884,0.9750535136645798,0.8756345177664974,3455,4320,5.48,
amazon,a,xgboost,random,0.4,1,0.9093470662393226,0.9802660775962141,0.88,3455,4320,0.96,
amazon,b0,lightgbm,random,0.4,1,0.9324891168317812,0.9857357062963441,0.8754716981132076,3455,4320,5.01,
amazon,b0,xgboost,random,0.4,1,0.9296526632838912,0.9863046099244429,0.88,3455,4320,1.08,
amazon,b,lightgbm,random,0.4,1,0.9323903728540867,0.9848281991959414,0.8830486202365309,3455,4320,4.94,
amazon,b,xgboost,random,0.4,1,0.9329841797344876,0.9859068753310565,0.881664499349805,3455,4320,1.08,
amazon,a,lightgbm,random,0.4,2,0.8978883343180196,0.9787071945146237,0.8523316062176165,3455,4320,5.57,
amazon,a,xgboost,random,0.4,2,0.8954699931350798,0.9785322908827904,0.851228978007762,3455,4320,0.96,
amazon,b0,lightgbm,random,0.4,2,0.9273435672941147,0.9864415451522129,0.8534031413612565,3455,4320,5.03,
amazon,b0,xgboost,random,0.4,2,0.9282892881091773,0.9861795009208894,0.8531994981179424,3455,4320,1.09,
amazon,b,lightgbm,random,0.4,2,0.9339737545098791,0.9869936430932672,0.8600508905852418,3455,4320,5.0,
amazon,b,xgboost,random,0.4,2,0.9296843307307227,0.9864017094495888,0.8582089552238805,3455,4320,1.12,
amazon,a,lightgbm,random,0.4,3,0.9094658279107662,0.9783573872509568,0.8740359897172236,3455,4320,5.6,
amazon,a,xgboost,random,0.4,3,0.9106843149846413,0.9803214741201756,0.8746736292428199,3455,4320,0.96,
amazon,b0,lightgbm,random,0.4,3,0.9323989916984524,0.9853043603288686,0.8831168831168832,3455,4320,5.07,
amazon,b0,xgboost,random,0.4,3,0.9312167985667097,0.9846900191024642,0.8774703557312253,3455,4320,1.11,
amazon,b,lightgbm,random,0.4,3,0.9323325983568196,0.9852551881334422,0.8805194805194805,3455,4320,5.08,
amazon,b,xgboost,random,0.4,3,0.9328255945029014,0.9844777694994208,0.8772378516624041,3455,4320,1.11,
amazon,a,lightgbm,random,0.4,4,0.898482691241971,0.9708520919034557,0.8556430446194225,3455,4320,5.68,
amazon,a,xgboost,random,0.4,4,0.9041185038275036,0.9727032072097642,0.858257477243173,3455,4320,0.97,
amazon,b0,lightgbm,random,0.4,4,0.9253714484724195,0.9822675104366427,0.8589580686149936,3455,4320,5.13,
amazon,b0,xgboost,random,0.4,4,0.9254853929692862,0.981582834297793,0.8680641183723797,3455,4320,1.09,
amazon,b,lightgbm,random,0.4,4,0.9292808114453214,0.9828457505575441,0.8683544303797468,3455,4320,5.17,
amazon,b,xgboost,random,0.4,4,0.9252571253158778,0.9815685183421624,0.863920099875156,3455,4320,1.08,
elliptic,a,lightgbm,temporal,0.4,0,0.7905971422865573,0.9216258002250022,0.8171122994652406,26381,16670,7.66,
elliptic,a,xgboost,temporal,0.4,0,0.7868804562435043,0.9190172623550854,0.8172615876398508,26381,16670,1.82,
elliptic,b0,lightgbm,temporal,0.4,0,0.7939012031405909,0.9272342099605817,0.823093220338983,26381,16670,13.56,
elliptic,b0,xgboost,temporal,0.4,0,0.7998960214222546,0.9278112291530675,0.8184713375796179,26381,16670,6.09,
elliptic,b,lightgbm,temporal,0.4,0,0.7851481078788771,0.9191129336241028,0.8223295759527643,26381,16670,12.06,
elliptic,b,xgboost,temporal,0.4,0,0.7890480240566573,0.9281371927182495,0.8257858284496538,26381,16670,5.67,
elliptic,a,lightgbm,temporal,0.4,1,0.7905971422865573,0.9216258002250022,0.8171122994652406,26381,16670,9.07,
elliptic,a,xgboost,temporal,0.4,1,0.7868804562435043,0.9190172623550854,0.8172615876398508,26381,16670,1.8,
elliptic,b0,lightgbm,temporal,0.4,1,0.7939012031405909,0.9272342099605817,0.823093220338983,26381,16670,13.31,
elliptic,b0,xgboost,temporal,0.4,1,0.7998960214222546,0.9278112291530675,0.8184713375796179,26381,16670,6.15,
elliptic,b,lightgbm,temporal,0.4,1,0.7851481078788771,0.9191129336241028,0.8223295759527643,26381,16670,12.13,
elliptic,b,xgboost,temporal,0.4,1,0.7890480240566573,0.9281371927182495,0.8257858284496538,26381,16670,5.68,
yelp,b_leaky,lightgbm,random,0.4,0,0.8584951829155311,0.9570337701980443,0.7802180924589156,18382,22976,9.53,
yelp,b_leaky,xgboost,random,0.4,0,0.837855113802121,0.9513282000982307,0.758997722095672,18382,22976,1.98,
yelp,b_leaky,lightgbm,random,0.4,1,0.857034331860931,0.9540987865994636,0.7792730085073473,18382,22976,9.67,
yelp,b_leaky,xgboost,random,0.4,1,0.8255737051200309,0.9444782193410739,0.7472290640394088,18382,22976,1.94,
yelp,b_leaky,lightgbm,random,0.4,2,0.849408022145937,0.951586202780818,0.7710730948678072,18382,22976,9.42,
yelp,b_leaky,xgboost,random,0.4,2,0.8273157327738704,0.9453681359997622,0.7498056289846058,18382,22976,1.89,
yelp,b_leaky,lightgbm,random,0.4,3,0.8472967610491136,0.9481777299132269,0.7685054219707685,18382,22976,9.31,
yelp,b_leaky,xgboost,random,0.4,3,0.8257069276718474,0.9428368036048037,0.7530101883297315,18382,22976,1.87,
yelp,b_leaky,lightgbm,random,0.4,4,0.8661698347508597,0.957972526211547,0.7854163448169318,18382,22976,9.49,
yelp,b_leaky,xgboost,random,0.4,4,0.84401148285763,0.9517909573709549,0.7633982947624847,18382,22976,1.87,
amazon,b_leaky,lightgbm,random,0.4,0,0.9274959628502268,0.9853354819715436,0.8721804511278195,3455,4320,5.0,
amazon,b_leaky,xgboost,random,0.4,0,0.9326603882923192,0.985668483548166,0.8778054862842893,3455,4320,1.04,
amazon,b_leaky,lightgbm,random,0.4,1,0.9317909868875085,0.9815386415651945,0.8877551020408163,3455,4320,4.96,
amazon,b_leaky,xgboost,random,0.4,1,0.9296002853860484,0.9809622687428539,0.8843710292249046,3455,4320,1.05,
amazon,b_leaky,lightgbm,random,0.4,2,0.9261801569603574,0.9873054819528706,0.8571428571428572,3455,4320,4.95,
